permiso,razon_social,marca,lat,lng,coordenadas,precio_mediano,precio_promedio_caro,sobreprecio_dias_caros,dias_arriba_umbral,dias_reportados,pct_dias_caros,costo_anual_aleatorio,costo_anual_siempre
PL/2698/EXP/ES/2015,Segas Combustibles Sa de Cv,OTRA / NO IDENTIFICADA,25.78493,-100.2529,"25.78493,-100.2529",24.99,24.99,1.0,58,58,100.0,2600,2600
PL/13580/EXP/ES/2016,"Petromax, S.A. de C.V.",PETROMAX,25.81581,-100.1086,"25.81581,-100.1086",24.39,24.471249999999998,0.48,32,58,55.172413793103445,689,1248
PL/486/EXP/ES/2015,"Petromax, S.A. de C.V.",PETROMAX,25.69145,-100.1952,"25.69145,-100.1952",24.34,24.380625000000002,0.39,32,58,55.172413793103445,559,1014
PL/21791/EXP/ES/2018,"Petromax, S.A. de C.V.",PETROMAX,25.76265,-99.98902,"25.76265,-99.98902",24.34,24.380625000000002,0.39,32,58,55.172413793103445,559,1014
PL/20776/EXP/ES/2017,"Petromax, S.A. de C.V.",PETROMAX,25.72923,-100.1994,"25.72923,-100.1994",24.24,24.49,0.5,29,58,50.0,650,1300
PL/19022/EXP/ES/2016,"Petromax, S.A. de C.V.",PETROMAX,25.63159,-100.128,"25.63159,-100.128",24.14,24.29,0.3,29,58,50.0,390,780
PL/3811/EXP/ES/2015,"Petromax, S.A. de C.V.",PETROMAX,25.63936,-100.1524,"25.63936,-100.1524",24.14,24.29,0.3,29,58,50.0,390,780
PL/25493/EXP/ES/2024,"Petromax, S.A. de C.V.",PETROMAX,25.61592,-100.0541,"25.61592,-100.0541",24.189999999999998,24.39,0.4,29,58,50.0,520,1040
PL/458/EXP/ES/2015,"Petromax, S.A. de C.V.",PETROMAX,25.70878,-100.1629,"25.70878,-100.1629",24.24,24.49,0.5,29,58,50.0,650,1300
PL/492/EXP/ES/2015,"Petromax, S.A. de C.V.",PETROMAX,25.71746,-100.1685,"25.71746,-100.1685",24.14,24.29,0.3,29,58,50.0,390,780
PL/538/EXP/ES/2015,"Petromax, S.A. de C.V.",PETROMAX,25.66026,-100.1466,"25.66026,-100.1466",24.189999999999998,24.39,0.4,29,58,50.0,520,1040
PL/594/EXP/ES/2015,"Petromax, S.A. de C.V.",PETROMAX,25.70155,-100.1302,"25.70155,-100.1302",24.14,24.29,0.3,29,58,50.0,390,780
